"id","tipus","nom","municipi","comarca","lat","lng","sstt","se","public","estudis","adreca","web","logo","nodes","web_propi","tel","mail","twitter"
"08000271","ESC","Escola Santa Maria d'Avià","Avià","Berguedà",42.07747,1.819588,"CCE","SE del Berguedà",true,"EINF2C|EPRI","c. Escoles, s/n - 08610 Avià","http://escolaavia.cat","https://drive.google.com/thumbnail?id=1NKqFFOYnedirakUK42_z3AmXUsNuogNe","","http://escolaavia.cat","938230376, 938231806","a8000271@xtec.cat",""
"08000323","ESC","Escola Barnola","Avinyó","Bages",41.86575,1.972696,"CCE","SE del Bages",true,"EINF2C|EPRI","c. Indústria, 6 - 08279 Avinyó","http://agora.xtec.cat/esc-barnola","https://drive.google.com/thumbnail?id=1cKLjUcenpB3fUa_qf1Q5TI3JtPlnT9ll","http://agora.xtec.cat/esc-barnola","","938387279, 938387279","a8000323@xtec.cat",""
"08000347","ESC","Escola d'Avinyonet del Penedès","Avinyonet del Penedès","Alt Penedès",41.36041,1.782569,"BCO","SE de l'Alt Penedès",true,"EINF2C|EPRI","pg. de la Grava, s/n - 08793 Avinyonet del Penedès","https://www.escolaavinyonet.org","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aQkw1V1QtbkJzbUE","","https://www.escolaavinyonet.org","938970443, 938970443","a8000347@xtec.cat",""
"08000359","ESC","Escola La Muntanya","Aiguafreda","Vallès Oriental",41.77049,2.250343,"MVO","SE del Vallès Oriental IV",true,"EINF2C|EPRI","c. Núria, s/n - 08591 Aiguafreda","http://agora.xtec.cat/ceip-lamuntanya-aiguafreda","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aZHFPS1lrNXJ5VHc","http://agora.xtec.cat/ceip-lamuntanya-aiguafreda","","938440179","a8000359@xtec.cat","@escola_muntanya"
"08000372","ESC","Escola Sant Jordi","Badalona","Barcelonès",41.4652,2.251476,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","av. de Sabadell, s/n - 08915 Badalona","https://agora.xtec.cat/escola-sant-jordi-badalona","https://drive.google.com/thumbnail?id=1itIELAJR5icVoHt91lZ0FbduSm9pzgww","https://agora.xtec.cat/escola-sant-jordi-badalona","http://santjordibadalona.wixsite.com/ceip-sant-jordi","933953305, 933953305","a8000372@xtec.cat",""
"08000384","ESC","Escola Lola Anglada","Badalona","Barcelonès",41.45684,2.256227,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","c. Riera de Canyadó, 53 - 08911 Badalona","http://agora.xtec.cat/ceip-lola-anglada-badalona","https://drive.google.com/thumbnail?id=18dSZfERU0XUBoxMlRe7IPjGacNmsDwdJ","http://agora.xtec.cat/ceip-lola-anglada-badalona","","934642540, 933895532","a8000384@xtec.cat",""
"08000396","ESC","Escola Ventós i Mir","Badalona","Barcelonès",41.44491,2.245627,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","ptge. Ventós i Mir, 29-31 - 08912 Badalona","http://agora.xtec.cat/ceip-ventosmir","https://drive.google.com/thumbnail?id=1c2Hg8VGsDV_TnOrRDYK0fC2USLOYCDTz","http://agora.xtec.cat/ceip-ventosmir","","933895523, 933295523","a8000396@xtec.cat",""
"08000402","ESC","Escola Feliu i Vegués","Badalona","Barcelonès",41.44489,2.220487,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","c. Sírius, 2A - 08914 Badalona","http://agora.xtec.cat/escolafeliuivegues","https://drive.google.com/thumbnail?id=1SSku5yJLkaYfwgF2erxfB4h-WJ9vzdLL","http://agora.xtec.cat/escolafeliuivegues","","933871241, 933871241","a8000402@xtec.cat",""
"08000414","ESC","Escola Alexandre Galí","Badalona","Barcelonès",41.44712,2.227149,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI|EE","av. d'en Caritg, s/n - 08914 Badalona","http://agora.xtec.cat/ceipalexandregali","https://drive.google.com/thumbnail?id=1ZD7zEj29MNE-_Sxx1kUIhP1qUZ-ScmnP","http://agora.xtec.cat/ceipalexandregali","","933880692, 933880692","a8000414@xtec.cat",""
"08000499","IE","Sant Domènec Savio","Badalona","Barcelonès",41.44364,2.239395,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|CFPM|PFI","c. Alfons XII, 111 - 08912 Badalona","","","","","933877254, 933996612","a8000499@xtec.cat",""
"08000517","IE","Sant Andreu","Badalona","Barcelonès",41.44905,2.246367,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX","c. Arnús, 16-18 - 08911 Badalona","https://standreu.org","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8ac01aUmZwX09aYTA","","https://standreu.org","933847710, 933847712","a8000517@xtec.cat","@standreu"
"08000578","IE","Nen Jesús de Praga","Badalona","Barcelonès",41.45163,2.24461,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Barcelona, 44 - 08911 Badalona","https://www.escolanjpraga.com","https://drive.google.com/thumbnail?id=1L5cBn3eA-HEFkFrZlrHBLQisgPfguZg6","","https://www.escolanjpraga.com","933842413, 933842413","a8000578@xtec.cat",""
"08000608","ESC","Montserrat","Badalona","Barcelonès",41.45165,2.235748,"BCO","SE Ciutat de Badalona",false,"EINF1C|EINF2C|EPRI","c. Carles I, 9-13 - 08917 Badalona","","","","","933880045, 933880045","a8000608@xtec.cat",""
"08000670","ESC","Mare de Déu de la Salut","Badalona","Barcelonès",41.44047,2.227455,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI","pg. de la Salut, 36-38 - 08914 Badalona","","","","","933876243, 393876243","a8000670@xtec.cat",""
"08000700","IE","Maristes Champagnat","Badalona","Barcelonès",41.44779,2.244564,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX","c. Dos de Maig, 67 - 08912 Badalona","http://www.badalona.maristes.cat","https://drive.google.com/thumbnail?id=1YSt7t_qaLoc0to0oO_0e_0Do8THCDUFj","","http://www.badalona.maristes.cat","933895650, 934644353","a8000700@xtec.cat","@maristesbdn"
"08000712","INS","Llefià","Badalona","Barcelonès",41.43817,2.216834,"BCO","SE Ciutat de Badalona",false,"CFPM|CFPS|PFI","c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B - 08913 Badalona","http://www.fpllefia.com","https://drive.google.com/thumbnail?id=1HP7QNHJVr0951NgFpkIv1QhIhDzXlL8k","","http://www.fpllefia.com","933883298, 933830159","a8000712@xtec.cat",""
"08000761","IE","Badalonès","Badalona","Barcelonès",41.4474,2.246068,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX|CFPM|CFPS|ADULTS","c. Arbres, 17 - 08912 Badalona","http://www.badalones.com","https://drive.google.com/thumbnail?id=1bS7GjesOZaxZkv9b7rPmo8FajepCWFCd","","http://www.badalones.com","933895716, 934642674","a8000761@xtec.cat","@cbadalones"
"08000827","IE","Jesús Maria","Badalona","Barcelonès",41.44923,2.223649,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Lepant, 3 - 08917 Badalona","","","","","933874696, 933991619","a8000827@xtec.cat",""
"08000864","IE","Cultural","Badalona","Barcelonès",41.43648,2.22062,"BCO","SE Ciutat de Badalona",false,"EINF1C|EINF2C|EPRI|ESO","ptge. Pi i Gibert, 29-31 - 08913 Badalona","http://agora.xtec.cat/escolaculturalartigues","https://drive.google.com/thumbnail?id=1rZ1DiiGmWZOK9WVtPfCIBldWYQEfFrQw","http://agora.xtec.cat/escolaculturalartigues","","933875299, 933997341","a8000864@xtec.cat",""
"08000918","IE","Cultural","Badalona","Barcelonès",41.45256,2.246616,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX|CFPM|CFPS","pl. Marquès de Barberà, 13 - 08911 Badalona","http://agora.xtec.cat/colcultural","","http://agora.xtec.cat/colcultural","","933840451, 934643185","a8000918@xtec.cat",""
"08000921","IE","Arrels-Esperança","Badalona","Barcelonès",41.43898,2.224533,"BCO","SE Ciutat de Badalona",false,"EINF1C|EINF2C|EPRI|ESO","c. Provença, 7 - 08914 Badalona","https://www.escolesarrels.com","https://drive.google.com/thumbnail?id=1p0-CEDquSpQlYS2o_QhkWVHVKvcBPyM-","","https://www.escolesarrels.com","933876199, 934603078","a8000921@xtec.cat","@EscolesArrels"
"08000943","IE","Garbí Pere Vergés","Badalona","Barcelonès",41.47592,2.25208,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX","av. de les Palmeres, 5 - 08916 Badalona","http://www.escolesgarbi.cat/badalona","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aVS1US18yU0dmaTA","","http://www.escolesgarbi.cat/badalona","933954311, 933955921","a8000943@xtec.cat","@GarbiPereVerges"
"08000967","IE","Betúlia","Badalona","Barcelonès",41.44503,2.243939,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Conquesta, 57-65 - 08912 Badalona","http://escolabetulia.cat","https://drive.google.com/thumbnail?id=19mQUqSFHCmWb7aQ4FcFnSWF6YsTBuvF4","","http://escolabetulia.cat","933996807, 933972416","a8000967@xtec.cat","@escolabetulia"
"08000979","ESC","López Torrejón","Badalona","Barcelonès",41.44386,2.240828,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI","c. Roger de Flor, 115-117 - 08912 Badalona","","","","","934606253, 934606253","a8000979@xtec.cat",""
"08000980","IE","Ramiro de Maeztu","Badalona","Barcelonès",41.43884,2.215958,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Ramiro de Maeztu, s/n - 08913 Badalona","","https://drive.google.com/open?id=0B8jl-qNBtH8aaV9sR0tsR3FiVHc","","","933880238","a8000980@xtec.cat",""
"08001029","IE","Boix","Badalona","Barcelonès",41.46072,2.243629,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Rubió i Ors, 14-16 - 08915 Badalona","https://www.cboix.com","https://drive.google.com/open?id=1Fe5jPb4QEQjkpyRLncKBILFHkZGHRIp_","","https://www.cboix.com","933997502, 933997502","a8001029@xtec.cat",""
"08001030","ESC","Cultural Fluvià","Badalona","Barcelonès",41.45382,2.247675,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI","c. Fluvià, 64 - 08911 Badalona","","","","","934640731","a8001030@xtec.cat",""
"08001066","IE","Maria Ward","Badalona","Barcelonès",41.44163,2.216323,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Sant Frederic, s/n - 08913 Badalona","http://www.mariaward.cat","https://drive.google.com/thumbnail?id=1gpuVpSXvHcUSVGfZzzI-fDtPvAILg6Dr","","http://www.mariaward.cat","933872898, 934607886","a8001066@xtec.cat","@EscolaMariaWard"
"08001108","IE","Mare de Déu de l'Assumpció","Badalona","Barcelonès",41.43823,2.228199,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO|BATX","c. Sant Joan Evangelista, 22 - 08918 Badalona","http://www.assumpciobadalona.com/principal","https://drive.google.com/thumbnail?id=1AwJ3_VjIYvAhWKNQxd5J-z0cd309ShqY","","http://www.assumpciobadalona.com/principal","933871554, 933834468","a8001108@xtec.cat",""
"08001133","IE","Arrels-Blanquerna","Badalona","Barcelonès",41.46153,2.247948,"BCO","SE Ciutat de Badalona",false,"EINF1C|EINF2C|EPRI|ESO","av. Roma, 29-31 - 08915 Badalona","https://www.escolesarrels.com","https://drive.google.com/thumbnail?id=1M9ureYgnn9t3Ch2dMYMegxQej-hjK1GN","","https://www.escolesarrels.com","933951657","a8001133@xtec.cat","@EscolesArrels"
"08001145","IE","Lestonnac","Badalona","Barcelonès",41.4347,2.222623,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Santa Joana de Lestonnac, s/n - 08918 Badalona","http://lestonnacbadalona.org","https://drive.google.com/thumbnail?id=1Yb5gR9Xkh7tm4qE44MAxwWxgG-7H4tBb","","http://lestonnacbadalona.org","933871295, 933871295","a8001145@xtec.cat",""
"08001157","IE","Minguella","Badalona","Barcelonès",41.45088,2.25449,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Sta.Madrona,75 i Sta.Maria,30 i 34-36 - 08911 Badalona","http://www.escolesminguella.org","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aSHJXUGRWNDNBWDg","","http://www.escolesminguella.org","933892287, 933842913","a8001157@xtec.cat",""
"08001170","IE","Santíssima Trinitat","Badalona","Barcelonès",41.43252,2.220488,"BCO","SE Ciutat de Badalona",false,"EINF2C|EPRI|ESO","c. Santiago, 57 - 08918 Badalona","http://agora.xtec.cat/col-stma-trinitat","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8adTU3XzNhS0E2ZFU","http://agora.xtec.cat/col-stma-trinitat","","933874854, 934603715","a8001170@xtec.cat",""
"08001297","IE","Laietània","Badalona","Barcelonès",41.44572,2.238812,"BCO","SE Ciutat de Badalona",false,"EINF1C|EINF2C|EPRI|ESO|BATX","c. Saragossa, 18 i 19 - 08912 Badalona","https://laietania.net","https://drive.google.com/thumbnail?id=1lj-IwwwTbYGmbt6t9LyVWBcOZTIYa6ZW","","https://laietania.net","933881447","a8001297@xtec.cat",""
"08001391","ESC","Escola Planas i Casals","Badalona","Barcelonès",41.46038,2.237312,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","c. Muntaner, 2-18 - 08917 Badalona","http://agora.xtec.cat/ceipplanasicasals","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aQmg5eUNyQ3VyQjQ","http://agora.xtec.cat/ceipplanasicasals","","933951406, 933951406","a8001391@xtec.cat",""
"08001421","INS","Institut La Pineda","Badalona","Barcelonès",41.45297,2.237943,"BCO","SE Ciutat de Badalona",true,"ESO|BATX|CFPM|CFPS|PFI","c. de la Batlloria, s/n - 08917 Badalona","http://agora.xtec.cat/ieslapineda","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aV1J0NGZyekt6Q3c","http://agora.xtec.cat/ieslapineda","","933990511, 933835709","a8001421@xtec.cat",""
"08001431","INS","Institut Isaac Albéniz","Badalona","Barcelonès",41.45676,2.245326,"BCO","SE Ciutat de Badalona",true,"ESO|BATX|PFI","parc Serentill, s/n - 08915 Badalona","http://agora.xtec.cat/ies-isaac-albeniz","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aMGgwWTJ1VEdhekE","http://agora.xtec.cat/ies-isaac-albeniz","","933830511, 933834738","a8001431@xtec.cat",""
"08001443","INS","Institut Eugeni d'Ors","Badalona","Barcelonès",41.43544,2.223727,"BCO","SE Ciutat de Badalona",true,"ESO|BATX|CFPM|CFPS|PFI","av. Maresme, 192-212 - 08918 Badalona","https://inseugenidorsbadalona.com","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aMTNWVEFjQUlTalE","","https://inseugenidorsbadalona.com","933875866, 934602756","a8001443@xtec.cat",""
"08001480","INS","EASD Pau Gargallo","Badalona","Barcelonès",41.45635,2.244854,"BCO","SE Ciutat de Badalona",true,"BATX|CFAM|CFAS|ESDI","parc Serentill, s/n - 08915 Badalona","https://paugargallo.cat","https://drive.google.com/thumbnail?id=1-Q76nqme7KzW6O7p3XeeWl8V0_jp0XG2","","https://paugargallo.cat","933997652, 933873334","a8001480@xtec.cat","@EASDPauGargallo"
"08001509","ESC","Escola Antoni Botey","Badalona","Barcelonès",41.4406,2.221281,"BCO","SE Ciutat de Badalona",true,"EINF2C|EPRI","av. Doctor Bassols, 77 A - 08913 Badalona","http://www.xtec.cat/ceipantonibotey","","","http://www.xtec.cat/ceipantonibotey","933872589, 933872589","a8001509@xtec.cat",""
"08001522","ESC","Escola Galceran de Pinós","Bagà","Berguedà",42.25369,1.862222,"CCE","SE del Berguedà",true,"EINF2C|EPRI","av. Reina Elisenda, 2 - 08695 Bagà","http://agora.xtec.cat/ceip-galceran-de-pinos","https://drive.google.com/thumbnail?id=1vtif0uVolwo0GoxtlBXrpS1O8rzqaliN","http://agora.xtec.cat/ceip-galceran-de-pinos","","938244116, 938244116","a8001522@xtec.cat",""
"08001534","ESC","Escola Joan XXIII","Balenyà","Osona",41.81714,2.237276,"CCE","SE d'Osona",true,"EINF2C|EPRI","c. Escoles, s/n - 08550 Balenyà","http://blocs.xtec.cat/escolaj23balenya","https://drive.google.com/thumbnail?id=1-5ZLCV_sQrKFiqOzPNpZyHknuxbebU8N","","http://blocs.xtec.cat/escolaj23balenya","938898304, 938898304","a8001534@xtec.cat",""
"08001583","ESC","Escola Guillem de Balsareny","Balsareny","Bages",41.86134,1.876363,"CCE","SE del Bages",true,"EINF2C|EPRI","c. Carrilet, 8 - 08660 Balsareny","https://agora.xtec.cat/escolaguillemdebalsareny/moodle","https://drive.google.com/thumbnail?id=11P9SqT5fmkh9tec3jpiD2iIJm-4hW98t","","https://agora.xtec.cat/escolaguillemdebalsareny/moodle","938396188, 938396188","a8001583@xtec.cat","@e_guillem"
"08001595","ESC","Escola Baixeras","Barcelona","Barcelonès",41.38283,2.179781,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","c. Salvador Aulet, 1 - 08002 Barcelona","https://www.escolabaixeras.cat","","","https://www.escolabaixeras.cat","933105295, 933105295","a8001595@xtec.cat",""
"08001601","ESC","Escola Parc de la Ciutadella","Barcelona","Barcelonès",41.38496,2.187226,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","pg. de Circumval.lació, 5 - 08003 Barcelona","https://www.escolaparcdelaciutadella.cat","https://drive.google.com/thumbnail?id=1su2d5IUXxY7iMrmBoIEf9BzoLuKDLlAg","","https://www.escolaparcdelaciutadella.cat","933195847, 933190811","a8001601@xtec.cat",""
"08001649","ESC","Escola Mossèn Jacint Verdaguer","Barcelona","Barcelonès",41.37328,2.154806,"CEB","SE Sants-Montjuïc",true,"EINF2C|EPRI","c. Lleida, 32 - 08004 Barcelona","http://agora.xtec.cat/ceip-mcinto-verdaguer","https://drive.google.com/thumbnail?id=1FpoHBfn0QW3LGXXnbZn7p9i8sar9ZID0","http://agora.xtec.cat/ceip-mcinto-verdaguer","","934240201, 934240201","a8001649@xtec.cat",""
"08001650","ESC","Escola El Polvorí","Barcelona","Barcelonès",41.36364,2.142878,"CEB","SE Sants-Montjuïc",true,"EINF2C|EPRI","camí del Polvorí, 8-10 - 08038 Barcelona","http://www.escolaelpolvori.cat","https://drive.google.com/thumbnail?id=1Fxy-XsOqXWm7VvWQIY5a0yFZ9f1ndERM","","http://www.escolaelpolvori.cat","933327496, 933327496","a8001650@xtec.cat","@EscolaElPolvori"
"08001674","ESC","Escola Can Clos","Barcelona","Barcelonès",41.36076,2.147562,"CEB","SE Sants-Montjuïc",true,"EINF2C|EPRI","c. Pedrera del Mussol, 10-14 - 08038 Barcelona","http://www.canclos.cat","https://drive.google.com/thumbnail?id=170tr0oA7eClQaq5GMKGrd7lXuqOORmzp","","http://www.canclos.cat","933326145, 933326145","a8001674@xtec.cat",""
"08001716","ESC","Escola Dolors Monserdà-Santapau","Barcelona","Barcelonès",41.40522,2.115623,"CEB","SE Sarrià-Sant Gervasi",true,"EINF2C|EPRI","av. Vallvidrera, 9 - 08017 Barcelona","http://agora.xtec.cat/esc-dms","https://drive.google.com/thumbnail?id=1DcFhiwK0kuPf2nBKueUaAK2-wG2lBUGk","http://agora.xtec.cat/esc-dms","","932031278, 932031278","a8001716@xtec.cat",""
"08001731","ESC","Escola Poeta Foix","Barcelona","Barcelonès",41.40227,2.145861,"CEB","SE Sarrià-Sant Gervasi",true,"EINF2C|EPRI","c. Balmes, 298 - 08006 Barcelona","http://agora.xtec.cat/ceippoetafoix","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aLWxBcEtiaEZxenM","http://agora.xtec.cat/ceippoetafoix","","932018152, 932018034","a8001731@xtec.cat",""
"08001777","ESC","Escola Ramon Llull","Barcelona","Barcelonès",41.40085,2.177783,"CEB","SE Eixample",true,"EINF2C|EPRI","av. Diagonal, 275 - 08013 Barcelona","http://escolaramonllullbcn.cat","https://drive.google.com/thumbnail?id=1NxeEfUvw31IP-XbdYSIcWqGhsJvOYDlV","","http://escolaramonllullbcn.cat","932313457, 932322198","a8001777@xtec.cat","@escola_llull"
"08001789","ESC","Escola Cervantes","Barcelona","Barcelonès",41.3872,2.177384,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","c. Sant Pere Més Baix, 31 - 08003 Barcelona","http://agora.xtec.cat/escolacervantes","https://drive.google.com/thumbnail?id=1hnslb45Ddbk_W-M-0SlFLzORenkiF7iC","http://agora.xtec.cat/escolacervantes","","932682050, 932682050","a8001789@xtec.cat",""
"08001790","ESC","Escola Pere Vila","Barcelona","Barcelonès",41.39125,2.181329,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","pg. Lluís Companys, 18 - 08018 Barcelona","http://agora.xtec.cat/escolaperevila","https://drive.google.com/thumbnail?id=1tOyBhRXFnYKLqJS9ucpEINUZUxxuCb5_","http://agora.xtec.cat/escolaperevila","","933099417, 934856120","a8001790@xtec.cat",""
"08001807","ESC","Escola de la Concepció","Barcelona","Barcelonès",41.39541,2.168255,"CEB","SE Eixample",true,"EINF2C|EPRI","c. Bruc, 102 - 08009 Barcelona","http://agora.xtec.cat/escoladelaconcepcio","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aXzNwRFBtQUNjb2M","http://agora.xtec.cat/escoladelaconcepcio","","934576081, 934570055","a8001807@xtec.cat",""
"08001819","ESC","Escola Collaso i Gil","Barcelona","Barcelonès",41.37618,2.168961,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","c. Sant Pau, 101 - 08001 Barcelona","http://agora.xtec.cat/ceip-collaso","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aSUFlTFdBblpwWTA","http://agora.xtec.cat/ceip-collaso","","934410098, 934410114","a8001819@xtec.cat",""
"08001820","ESC","Escola Milà i Fontanals","Barcelona","Barcelonès",41.38218,2.168334,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","c. Àngels, s/n - 08001 Barcelona","http://agora.xtec.cat/escmilaifontanals","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aSjBQLVZwd3VMTjA","http://agora.xtec.cat/escmilaifontanals","","934427038, 934427038","a8001820@xtec.cat",""
"08001832","ESC","Escola Castella","Barcelona","Barcelonès",41.38494,2.164591,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","pl. Castella, 8 - 08001 Barcelona","https://www.escolacastella.cat","","","https://www.escolacastella.cat","933020835, 933020835","a8001832@xtec.cat","@EscolaCastella"
"08001856","ESC","Escola Drassanes","Barcelona","Barcelonès",41.37908,2.177263,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","c. Nou de Sant Francesc, 9-13 - 08001 Barcelona","http://escoladrassanes.cat","https://drive.google.com/thumbnail?id=1rUNag_iIlUAmo1AXLF_MQHLJ0-rXzcMN","","http://escoladrassanes.cat","933189733, 933178302","a8001856@xtec.cat","@escolaDrassanes"
"08001868","ESC","Escola Rubén Darío","Barcelona","Barcelonès",41.3769,2.165736,"CEB","SE Ciutat Vella",true,"EINF2C|EPRI","rda. Sant Pau, 38 - 08001 Barcelona","http://agora.xtec.cat/escolarubendario","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aRVpGNGlnUnEwdW8","http://agora.xtec.cat/escolarubendario","","934429203, 934429203","a8001868@xtec.cat",""
