Codi,Latitud,Longitud,Nom,Adreça,Municipi,DM,Comarca,ST,SE,Naturalesa,TipusCentre,Estudis,Web,Logo,Web-Nodes,Web-Propi,Telefons,Mail,Twitter,Instagram,Codi-SE,Codi-SEZ
08000414,41.447128416,2.22714908,Escola Alexandre Galí,"av. d'en Caritg, s/n - 08914 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI,EE",https://agora.xtec.cat/ceipalexandregali,https://drive.google.com/thumbnail?id=1ZD7zEj29MNE-_Sxx1kUIhP1qUZ-ScmnP,https://agora.xtec.cat/ceipalexandregali,,"933880692, 933880692",a8000414@xtec.cat,,,BCO01,08870209
08000499,41.443648185,2.239395027,Sant Domènec Savio,"c. Alfons XII, 111 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,CFPM,PFI",http://badalona.salesians.cat,https://drive.google.com/thumbnail?id=1pSafw7s6mO8rbLhIH05OIxoq1Q9navPp,,http://badalona.salesians.cat,"933877254, 933996612",a8000499@xtec.cat,@salesiansBDN,,BCO01,08870209
08000517,41.449050611,2.246367951,Sant Andreu,"c. Arnús, 16-18 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX",https://standreu.org,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8ac01aUmZwX09aYTA,,https://standreu.org,"933847710, 933847712",a8000517@xtec.cat,@standreu,,BCO01,08870209
08000578,41.45163909,2.244610924,Nen Jesús de Praga,"c. Barcelona, 44 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",https://www.escolanjpraga.com,https://drive.google.com/thumbnail?id=1L5cBn3eA-HEFkFrZlrHBLQisgPfguZg6,,https://www.escolanjpraga.com,"933842413, 933842413",a8000578@xtec.cat,,,BCO01,08870209
08000608,41.451657826,2.235748774,Montserrat,"c. Carles I, 9-13 - 08917 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,ESC,"EINF1C,EINF2C,EPRI",,,,,"933880045, 933880045",a8000608@xtec.cat,,,BCO01,08870209
08000670,41.440471489,2.227455966,Mare de Déu de la Salut,"pg. de la  Salut, 36-38 - 08914 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,ESC,"EINF2C,EPRI",http://www.escolamds.cat,https://drive.google.com/thumbnail?id=1E-s2bSdx1LAPT3l8xhLmzdR4WA4rhzMc,,http://www.escolamds.cat,"933876243, 393876243",a8000670@xtec.cat,@Escolamds,escolamds,BCO01,08870209
08000700,41.447796598,2.244564688,Maristes Champagnat,"c. Dos de Maig, 67 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX",http://www.badalona.maristes.cat,https://drive.google.com/thumbnail?id=1YSt7t_qaLoc0to0oO_0e_0Do8THCDUFj,,http://www.badalona.maristes.cat,"933895650, 934644353",a8000700@xtec.cat,@maristesbdn,maristesbadalona,BCO01,08870209
08000712,41.438172632,2.216834398,Llefià,"c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B - 08913 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,INS,"CFPM,CFPS,PFI",http://www.fpllefia.com,https://drive.google.com/thumbnail?id=1HP7QNHJVr0951NgFpkIv1QhIhDzXlL8k,,http://www.fpllefia.com,"933883298, 933830159",a8000712@xtec.cat,,,BCO01,08870209
08000761,41.447407876,2.246068553,Badalonès,"c. Arbres, 17 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM,CFPS,ADULTS",http://www.badalones.com,https://drive.google.com/thumbnail?id=1bS7GjesOZaxZkv9b7rPmo8FajepCWFCd,,http://www.badalones.com,"933895716, 934642674",a8000761@xtec.cat,@cbadalones,,BCO01,08870209
08000827,41.449236368,2.223649561,Jesús Maria,"c. Lepant, 3 - 08917 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",http://jm-badalona.com,https://drive.google.com/thumbnail?id=19gLreUJ5dc2Th1XcurSSAA5rM32sRvMF,,http://jm-badalona.com,"933874696, 933991619",a8000827@xtec.cat,,,BCO01,08870209
08000864,41.436484414,2.220620633,Cultural,"ptge. Pi i Gibert, 29-31 - 08913 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",https://agora.xtec.cat/escolaculturalartigues,https://drive.google.com/thumbnail?id=1rZ1DiiGmWZOK9WVtPfCIBldWYQEfFrQw,https://agora.xtec.cat/escolaculturalartigues,,"933875299, 933997341",a8000864@xtec.cat,,,BCO01,08870209
08000918,41.452561663,2.246616594,Cultural,"pl. Marquès de Barberà, 13 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM,CFPS",https://www.culturalbadalona.com,https://drive.google.com/thumbnail?id=1gTYQpg449gWEr2Htr_5GCrAndp4jYK_s,,https://www.culturalbadalona.com,"933840451, 934643185",a8000918@xtec.cat,@Cultural_BDN,culturalbadalona,BCO01,08870209
08000921,41.438984545,2.224533537,Arrels-Esperança,"c. Provença, 7 - 08914 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",https://www.escolesarrels.com,https://drive.google.com/thumbnail?id=1p0-CEDquSpQlYS2o_QhkWVHVKvcBPyM-,,https://www.escolesarrels.com,"933876199, 934603078",a8000921@xtec.cat,@EscolesArrels,,BCO01,08870209
08000943,41.475925915,2.252080927,Garbí Pere Vergés,"av. de les Palmeres, 5 - 08916 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX",http://www.escolesgarbi.cat/badalona,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aVS1US18yU0dmaTA,,http://www.escolesgarbi.cat/badalona,"933954311, 933955921",a8000943@xtec.cat,@GarbiPereVerges,garbipereverges,BCO01,08870209
08000967,41.445032273,2.243939333,Betúlia,"c. Conquesta, 57-65 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",http://escolabetulia.cat,https://drive.google.com/thumbnail?id=19mQUqSFHCmWb7aQ4FcFnSWF6YsTBuvF4,,http://escolabetulia.cat,"933996807, 933972416",a8000967@xtec.cat,@escolabetulia,,BCO01,08870209
08000979,41.443861178,2.240828188,López Torrejón,"c. Roger de Flor, 115-117 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,ESC,"EINF2C,EPRI",http://www.escolalopeztorrejon.cat,https://drive.google.com/thumbnail?id=1I1Y13Ruz-h6j9VB4pR1ZzwjBW3lGnaSY,,http://www.escolalopeztorrejon.cat,"934606253, 934606253",a8000979@xtec.cat,,,BCO01,08870209
08000980,41.438843203,2.2159586,Ramiro de Maeztu,"c. Ramiro de Maeztu, s/n - 08913 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",,https://drive.google.com/open?id=0B8jl-qNBtH8aaV9sR0tsR3FiVHc,,,933880238,a8000980@xtec.cat,,,BCO01,08870209
08001029,41.460727038,2.243629384,Boix,"c. Rubió i Ors, 14-16 - 08915 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",https://www.cboix.com,https://drive.google.com/open?id=1Fe5jPb4QEQjkpyRLncKBILFHkZGHRIp_,,https://www.cboix.com,"933997502, 933997502",a8001029@xtec.cat,,,BCO01,08870209
08001030,41.453826672,2.247675422,Cultural Fluvià,"c. Fluvià, 64 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,ESC,"EINF2C,EPRI",,,,,934640731,a8001030@xtec.cat,,,BCO01,08870209
08001066,41.441630235,2.216323911,Maria Ward,"c. Sant Frederic, s/n - 08913 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",http://www.mariaward.cat,https://drive.google.com/thumbnail?id=1gpuVpSXvHcUSVGfZzzI-fDtPvAILg6Dr,,http://www.mariaward.cat,"933872898, 934607886",a8001066@xtec.cat,@EscolaMariaWard,,BCO01,08870209
08001108,41.438239272,2.228199539,Mare de Déu de l'Assumpció,"c. Sant Joan Evangelista, 22 - 08918 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO,BATX",http://www.assumpciobadalona.com/principal,https://drive.google.com/thumbnail?id=1AwJ3_VjIYvAhWKNQxd5J-z0cd309ShqY,,http://www.assumpciobadalona.com/principal,"933871554, 933834468",a8001108@xtec.cat,@AssumpcioBDN,,BCO01,08870209
08001133,41.461530653,2.247948534,Arrels-Blanquerna,"av. Roma, 29-31 - 08915 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",https://www.escolesarrels.com,https://drive.google.com/thumbnail?id=1M9ureYgnn9t3Ch2dMYMegxQej-hjK1GN,,https://www.escolesarrels.com,933951657,a8001133@xtec.cat,@EscolesArrels,,BCO01,08870209
08001145,41.434706008,2.222623965,Lestonnac,"c. Santa Joana de Lestonnac, s/n - 08918 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",http://lestonnacbadalona.org,https://drive.google.com/thumbnail?id=1Yb5gR9Xkh7tm4qE44MAxwWxgG-7H4tBb,,http://lestonnacbadalona.org,"933871295, 933871295",a8001145@xtec.cat,,,BCO01,08870209
08001157,41.45088708,2.254490782,Minguella,"c. Sta.Madrona,75 i Sta.Maria,30 i 34-36 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",http://www.escolesminguella.org,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aSHJXUGRWNDNBWDg,,http://www.escolesminguella.org,"933892287, 933842913",a8001157@xtec.cat,,,BCO01,08870209
08001170,41.432520582,2.220488789,Santíssima Trinitat,"c. Santiago, 57 - 08918 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF2C,EPRI,ESO",https://agora.xtec.cat/col-stma-trinitat,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8adTU3XzNhS0E2ZFU,https://agora.xtec.cat/col-stma-trinitat,,"933874854, 934603715",a8001170@xtec.cat,,,BCO01,08870209
08001297,41.445725798,2.238812969,Laietània,"c. Saragossa, 18 i 19 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Privat,IE,"EINF1C,EINF2C,EPRI,ESO,BATX",https://laietania.net,https://drive.google.com/thumbnail?id=1lj-IwwwTbYGmbt6t9LyVWBcOZTIYa6ZW,,https://laietania.net,933881447,a8001297@xtec.cat,,,BCO01,08870209
08001391,41.460386888,2.237312895,Escola Planas i Casals,"c. Muntaner, 2-18 - 08917 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipplanasicasals,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aQmg5eUNyQ3VyQjQ,https://agora.xtec.cat/ceipplanasicasals,,"933951406, 933951406",a8001391@xtec.cat,,,BCO01,08870209
08001421,41.452973377,2.237943855,Institut La Pineda,"c. de la Batlloria, s/n - 08917 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,INS,"ESO,BATX,CFPM,CFPS,PFI",http://www.inslapineda.cat,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aV1J0NGZyekt6Q3c,,http://www.inslapineda.cat,"933990511, 933835709",a8001421@xtec.cat,,,BCO01,08870209
08001431,41.45676809,2.245326127,Institut Isaac Albéniz,"parc Serentill, s/n - 08915 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,INS,"ESO,BATX,PFI",https://agora.xtec.cat/ies-isaac-albeniz,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aMGgwWTJ1VEdhekE,https://agora.xtec.cat/ies-isaac-albeniz,,"933830511, 933834738",a8001431@xtec.cat,,,BCO01,08870209
08001443,41.435445285,2.223727324,Institut Eugeni d'Ors,"av. Maresme, 192-212 - 08918 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,INS,"ESO,BATX,CFPM,CFPS,PFI",https://agora.xtec.cat/ies-eugeni-dors,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aMTNWVEFjQUlTalE,https://agora.xtec.cat/ies-eugeni-dors,https://inseugenidorsbadalona.com,"933875866, 934602756",a8001443@xtec.cat,,,BCO01,08870209
08001480,41.456353091,2.244854035,EASD Pau Gargallo,"parc Serentill, s/n - 08915 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,INS,"BATX,CFAM,CFAS,ESDI",https://paugargallo.cat,https://drive.google.com/thumbnail?id=1-Q76nqme7KzW6O7p3XeeWl8V0_jp0XG2,,https://paugargallo.cat,"933997652, 933873334",a8001480@xtec.cat,@EASDPauGargallo,easd_paugargallo,BCO01,08870209
08001509,41.440601451,2.221281543,Escola Antoni Botey,"av. Doctor Bassols, 77 A - 08913 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI",http://www.xtec.cat/ceipantonibotey,https://drive.google.com/thumbnail?id=1tRfJ_wNB8ARe9Tu1cV7MQvL-od-tDPao,,http://www.xtec.cat/ceipantonibotey,"933872589, 933872589",a8001509@xtec.cat,,,BCO01,08870209
08001522,42.253692594,1.862222707,Escola Galceran de Pinós,"av. Reina Elisenda, 2 - 08695 Bagà",Bagà,,Berguedà,CCE,SE del Berguedà,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-galceran-de-pinos,https://drive.google.com/thumbnail?id=1vtif0uVolwo0GoxtlBXrpS1O8rzqaliN,https://agora.xtec.cat/ceip-galceran-de-pinos,,"938244116, 938244116",a8001522@xtec.cat,,,CCE03,08870213
08001534,41.817142435,2.237276483,Escola Joan XXIII,"c. Escoles, s/n - 08550 Balenyà",Balenyà,,Osona,CCE,SE d'Osona,Públic,ESC,"EINF2C,EPRI",https://blocs.xtec.cat/escolaj23balenya,https://drive.google.com/thumbnail?id=1-5ZLCV_sQrKFiqOzPNpZyHknuxbebU8N,,https://blocs.xtec.cat/escolaj23balenya,"938898304, 938898304",a8001534@xtec.cat,,,CCE04,08870208
08001583,41.861342461,1.876363761,Escola Guillem de Balsareny,"c. Carrilet, 8 - 08660 Balsareny",Balsareny,,Bages,CCE,SE del Bages,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolaguillemdebalsareny/moodle,https://drive.google.com/thumbnail?id=11P9SqT5fmkh9tec3jpiD2iIJm-4hW98t,,https://agora.xtec.cat/escolaguillemdebalsareny/moodle,"938396188, 938396188",a8001583@xtec.cat,@e_guillem,,CCE02,08870201
08001595,41.382837911,2.179781021,Escola Baixeras,"c. Salvador Aulet, 1 - 08002 Barcelona",Barcelona,Ciutat Vella,Barcelonès,CEB,SE Ciutat Vella,Públic,ESC,"EINF2C,EPRI",https://www.escolabaixeras.cat,https://drive.google.com/thumbnail?id=1m97PFji16TTbit0RjjwgPLkWeXUc3Jee,,https://www.escolabaixeras.cat,"933105295, 933105295",a8001595@xtec.cat,@escolabaixeras,,CEB01,08870106
08001601,41.384962524,2.187226685,Escola Parc de la Ciutadella,"pg. de Circumval.lació, 5 - 08003 Barcelona",Barcelona,Ciutat Vella,Barcelonès,CEB,SE Ciutat Vella,Públic,ESC,"EINF2C,EPRI",https://www.escolaparcdelaciutadella.cat,https://drive.google.com/thumbnail?id=1su2d5IUXxY7iMrmBoIEf9BzoLuKDLlAg,,https://www.escolaparcdelaciutadella.cat,"933195847, 933190811",a8001601@xtec.cat,,,CEB01,08870106
08001649,41.373289088,2.154806442,Escola Mossèn Jacint Verdaguer,"c. Lleida, 32 - 08004 Barcelona",Barcelona,Sants-Montjuïc,Barcelonès,CEB,SE Sants-Montjuïc,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-mcinto-verdaguer,https://drive.google.com/thumbnail?id=1FpoHBfn0QW3LGXXnbZn7p9i8sar9ZID0,https://agora.xtec.cat/ceip-mcinto-verdaguer,,"934240201, 934240201",a8001649@xtec.cat,,,CEB03,08870103
08001650,41.36364306,2.1428788,Escola El Polvorí,"camí del Polvorí, 8-10 - 08038 Barcelona",Barcelona,Sants-Montjuïc,Barcelonès,CEB,SE Sants-Montjuïc,Públic,ESC,"EINF2C,EPRI",http://www.escolaelpolvori.cat,https://drive.google.com/thumbnail?id=1Fxy-XsOqXWm7VvWQIY5a0yFZ9f1ndERM,,http://www.escolaelpolvori.cat,"933327496, 933327496",a8001650@xtec.cat,@EscolaElPolvori,,CEB03,08870103
08001674,41.360761545,2.147562456,Escola Can Clos,"c. Pedrera del Mussol, 10-14 - 08038 Barcelona",Barcelona,Sants-Montjuïc,Barcelonès,CEB,SE Sants-Montjuïc,Públic,ESC,"EINF2C,EPRI",http://www.canclos.cat,https://drive.google.com/thumbnail?id=170tr0oA7eClQaq5GMKGrd7lXuqOORmzp,,http://www.canclos.cat,"933326145, 933326145",a8001674@xtec.cat,,,CEB03,08870103
08001716,41.405224297,2.11562359,Escola Dolors Monserdà-Santapau,"av. Vallvidrera, 9 - 08017 Barcelona",Barcelona,Sarrià-Sant Gervasi,Barcelonès,CEB,SE Sarrià-Sant Gervasi,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/esc-dms,https://drive.google.com/thumbnail?id=1DcFhiwK0kuPf2nBKueUaAK2-wG2lBUGk,https://agora.xtec.cat/esc-dms,,"932031278, 932031278",a8001716@xtec.cat,,,CEB05,08870108
08001731,41.402272726,2.14586166,Escola Poeta Foix,"c. Balmes, 298 - 08006 Barcelona",Barcelona,Sarrià-Sant Gervasi,Barcelonès,CEB,SE Sarrià-Sant Gervasi,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceippoetafoix,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aLWxBcEtiaEZxenM,https://agora.xtec.cat/ceippoetafoix,,"932018152, 932018034",a8001731@xtec.cat,,,CEB05,08870108
08001777,41.400859936,2.177783622,Escola Ramon Llull,"av. Diagonal, 275 - 08013 Barcelona",Barcelona,Eixample,Barcelonès,CEB,SE Eixample,Públic,ESC,"EINF2C,EPRI",http://escolaramonllullbcn.cat,https://drive.google.com/thumbnail?id=1NxeEfUvw31IP-XbdYSIcWqGhsJvOYDlV,,http://escolaramonllullbcn.cat,"932313457, 932322198",a8001777@xtec.cat,@escola_llull,,CEB02,08870107
08001789,41.387200845,2.177384602,Escola Cervantes,"c. Sant Pere Més Baix, 31 - 08003 Barcelona",Barcelona,Ciutat Vella,Barcelonès,CEB,SE Ciutat Vella,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolacervantes,https://drive.google.com/thumbnail?id=1hnslb45Ddbk_W-M-0SlFLzORenkiF7iC,https://agora.xtec.cat/escolacervantes,,"932682050, 932682050",a8001789@xtec.cat,,,CEB01,08870106
